year,month,state_and_area,tot_employed,percent_of_population,tot_unemployed,unemployment_Rate
2018,Sep,Massachusetts,"3,703,622",64.9,"128,660",3.4
2018,Sep,Michigan,"4,743,870",59,"202,010",4.1
2018,Sep,Minnesota,"2,982,207",67.4,"91,631",3
2018,Sep,Mississippi,"1,202,177",52.7,"62,540",4.9
2018,Sep,Missouri,"2,949,967",61.5,"93,378",3.1
2018,Sep,Montana,"516,885",61,"19,612",3.7
2018,Sep,Nebraska,"1,008,194",67.8,"30,637",2.9
2018,Sep,Nevada,"1,440,442",60.8,"63,696",4.2
2018,Sep,New Hampshire,"752,549",67,"19,596",2.5
2018,Sep,New Jersey,"4,430,370",60.5,"174,608",3.8
2018,Sep,New Mexico,"899,404",55,"46,441",4.9
2018,Sep,New York,"9,441,924",58.2,"385,634",3.9
2018,Sep,New York city,"4,079,051",57.4,"172,378",4.1
2018,Sep,North Carolina,"4,721,175",58.6,"196,076",4
2018,Sep,North Dakota,"401,116",67.9,"9,301",2.3
2018,Sep,Ohio,"5,564,293",60,"259,031",4.4
2018,Sep,Oklahoma,"1,769,237",59,"56,055",3.1
2018,Sep,Oregon,"1,993,722",59.1,"84,607",4.1
2018,Sep,Pennsylvania,"6,242,195",60,"276,912",4.2
2018,Sep,Rhode Island,"550,365",61.9,"22,409",3.9
2018,Sep,South Carolina,"2,215,518",55.9,"75,984",3.3
2018,Sep,South Dakota,"446,738",67.2,"12,393",2.7
2018,Sep,Tennessee,"3,155,309",58.9,"113,277",3.5
2018,Sep,Texas,"13,213,624",61.4,"525,192",3.8
2018,Sep,Utah,"1,543,290",66.4,"45,867",2.9
2018,Sep,Vermont,"346,692",65.3,"8,335",2.3
2018,Sep,Virginia,"4,226,588",63.3,"122,148",2.8
2018,Sep,Washington,"3,665,693",61.5,"166,037",4.3
2018,Sep,West Virginia,"754,813",51.8,"39,710",5
2018,Sep,Wisconsin,"3,020,627",65,"93,558",3
2018,Sep,Wyoming,"280,639",62.9,"11,950",4.1
2018,Oct,Alabama,"2,163,423",55.2,"86,770",3.9
2018,Oct,Alaska,"333,060",61,"21,055",5.9
2018,Oct,Arizona,"3,193,729",58.4,"165,663",4.9
2018,Oct,Arkansas,"1,296,935",55.8,"49,178",3.7
2018,Oct,California,"18,497,788",59.7,"823,522",4.3
2018,Oct,Los Angeles County,"4,875,035",60.3,"239,972",4.7
2018,Oct,Colorado,"2,972,769",66.4,"96,742",3.2
2018,Oct,Connecticut,"1,859,440",63.8,"72,003",3.7
2018,Oct,Delaware,"463,284",59.7,"16,931",3.5
2018,Oct,District of Columbia,"371,760",66.1,"21,926",5.6
2018,Oct,Florida,"9,799,002",57.2,"354,989",3.5
2018,Oct,Georgia,"4,919,880",60.5,"198,303",3.9
2018,Oct,Hawaii,"670,774",59.6,"18,200",2.6
2018,Oct,Idaho,"843,367",62.2,"25,218",2.9
2018,Oct,Illinois,"6,268,153",61.8,"290,751",4.4
2018,Oct,Indiana,"3,279,216",62.6,"119,725",3.5
2018,Oct,Iowa,"1,674,025",67.5,"43,687",2.5
2018,Oct,Kansas,"1,444,241",64.6,"50,045",3.3
2018,Oct,Kentucky,"1,963,087",56,"86,687",4.2
2018,Oct,Louisiana,"2,000,659",55.8,"101,227",4.8
2018,Oct,Maine,"677,166",60.7,"23,456",3.3
2018,Oct,Maryland,"3,155,904",65.3,"120,258",3.7
2018,Oct,Massachusetts,"3,706,338",65,"127,640",3.3
2018,Oct,Michigan,"4,746,517",59,"205,267",4.1
2018,Oct,Minnesota,"2,982,924",67.3,"94,661",3.1
2018,Oct,Mississippi,"1,200,942",52.7,"64,054",5.1
2018,Oct,Missouri,"2,950,848",61.5,"95,135",3.1
2018,Oct,Montana,"517,595",61,"19,648",3.7
2018,Oct,Nebraska,"1,009,041",67.8,"31,216",3
2018,Oct,Nevada,"1,444,468",60.9,"64,455",4.3
2018,Oct,New Hampshire,"753,034",67,"19,641",2.5
2018,Oct,New Jersey,"4,435,151",60.5,"171,865",3.7
2018,Oct,New Mexico,"899,635",54.9,"47,623",5
2018,Oct,New York,"9,441,120",58.2,"389,546",4
2018,Oct,New York city,"4,076,414",57.3,"176,938",4.2
2018,Oct,North Carolina,"4,726,112",58.6,"197,981",4
2018,Oct,North Dakota,"401,438",67.9,"9,426",2.3
2018,Oct,Ohio,"5,567,912",60,"261,356",4.5
2018,Oct,Oklahoma,"1,768,657",58.9,"56,976",3.1
2018,Oct,Oregon,"1,995,305",59.1,"87,051",4.2
2018,Oct,Pennsylvania,"6,249,408",60.1,"278,563",4.3
2018,Oct,Rhode Island,"550,154",61.9,"22,425",3.9
2018,Oct,South Carolina,"2,220,965",56,"75,646",3.3
2018,Oct,South Dakota,"446,998",67.2,"12,489",2.7
2018,Oct,Tennessee,"3,161,426",59,"113,884",3.5
2018,Oct,Texas,"13,225,591",61.4,"527,062",3.8
2018,Oct,Utah,"1,545,723",66.4,"45,805",2.9
2018,Oct,Vermont,"346,570",65.3,"8,350",2.4
2018,Oct,Virginia,"4,229,700",63.3,"126,411",2.9
2018,Oct,Washington,"3,673,580",61.5,"170,356",4.4
2018,Oct,West Virginia,"754,650",51.8,"39,934",5
2018,Oct,Wisconsin,"3,018,636",64.9,"93,587",3
2018,Oct,Wyoming,"280,690",62.9,"11,903",4.1
2018,Nov,Alabama,"2,168,540",55.3,"86,179",3.8
2018,Nov,Alaska,"332,606",61,"21,201",6
2018,Nov,Arizona,"3,201,936",58.5,"168,668",5
2018,Nov,Arkansas,"1,299,048",55.9,"49,938",3.7
2018,Nov,California,"18,506,174",59.7,"835,034",4.3
2018,Nov,Los Angeles County,"4,875,991",60.4,"241,286",4.7
2018,Nov,Colorado,"2,978,195",66.5,"95,959",3.1
2018,Nov,Connecticut,"1,860,763",63.9,"71,858",3.7
2018,Nov,Delaware,"464,129",59.8,"16,992",3.5
2018,Nov,District of Columbia,"371,922",66.1,"22,519",5.7
2018,Nov,Florida,"9,806,795",57.2,"356,435",3.5
2018,Nov,Georgia,"4,922,351",60.5,"199,203",3.9
2018,Nov,Hawaii,"669,105",59.5,"18,619",2.7
2018,Nov,Idaho,"845,311",62.2,"25,768",3
2018,Nov,Illinois,"6,269,545",61.9,"296,533",4.5
2018,Nov,Indiana,"3,279,824",62.6,"120,985",3.6
2018,Nov,Iowa,"1,676,341",67.6,"44,289",2.6
2018,Nov,Kansas,"1,444,967",64.6,"50,535",3.4
2018,Nov,Kentucky,"1,963,589",56,"86,501",4.2
2018,Nov,Louisiana,"2,001,710",55.8,"100,971",4.8
2018,Nov,Maine,"676,865",60.7,"23,137",3.3
2018,Nov,Maryland,"3,163,607",65.5,"120,401",3.7
2018,Nov,Massachusetts,"3,709,482",65,"126,776",3.3
2018,Nov,Michigan,"4,750,865",59.1,"208,244",4.2
2018,Nov,Minnesota,"2,984,559",67.3,"97,824",3.2
2018,Nov,Mississippi,"1,200,515",52.6,"65,857",5.2
2018,Nov,Missouri,"2,953,050",61.5,"97,379",3.2
2018,Nov,Montana,"518,342",61,"19,663",3.7
2018,Nov,Nebraska,"1,010,192",67.9,"31,737",3
2018,Nov,Nevada,"1,448,898",60.9,"65,188",4.3
2018,Nov,New Hampshire,"753,777",67,"19,777",2.6
2018,Nov,New Jersey,"4,442,666",60.6,"169,439",3.7
2018,Nov,New Mexico,"900,429",54.9,"48,531",5.1
2018,Nov,New York,"9,442,909",58.2,"392,772",4
2018,Nov,New York city,"4,076,525",57.3,"181,112",4.3
2018,Nov,North Carolina,"4,735,340",58.7,"198,956",4
2018,Nov,North Dakota,"402,127",68,"9,583",2.3
2018,Nov,Ohio,"5,573,963",60.1,"262,736",4.5
2018,Nov,Oklahoma,"1,769,219",58.9,"58,142",3.2
2018,Nov,Oregon,"1,998,410",59.1,"88,789",4.3
2018,Nov,Pennsylvania,"6,257,800",60.2,"281,311",4.3
2018,Nov,Rhode Island,"550,168",61.8,"22,303",3.9
2018,Nov,South Carolina,"2,227,242",56.1,"74,977",3.3
2018,Nov,South Dakota,"447,488",67.2,"12,649",2.7
2018,Nov,Tennessee,"3,169,758",59.1,"114,336",3.5
2018,Nov,Texas,"13,242,160",61.4,"528,058",3.8
2018,Nov,Utah,"1,548,839",66.4,"45,585",2.9
2018,Nov,Vermont,"346,578",65.2,"8,353",2.4
2018,Nov,Virginia,"4,236,410",63.3,"131,110",3
2018,Nov,Washington,"3,683,176",61.6,"175,364",4.5
2018,Nov,West Virginia,"754,484",51.8,"40,193",5.1
2018,Nov,Wisconsin,"3,018,167",64.8,"93,805",3
2018,Nov,Wyoming,"280,876",62.9,"11,715",4
2018,Dec,Alabama,"2,174,521",55.4,"85,331",3.8
2018,Dec,Alaska,"332,298",60.9,"21,213",6
2018,Dec,Arizona,"3,210,355",58.6,"170,285",5
2018,Dec,Arkansas,"1,301,513",56,"50,149",3.7
2018,Dec,California,"18,516,907",59.7,"841,563",4.3
2018,Dec,Los Angeles County,"4,877,194",60.4,"241,081",4.7
2018,Dec,Colorado,"2,984,873",66.6,"94,311",3.1
2018,Dec,Connecticut,"1,861,939",63.9,"71,492",3.7
2018,Dec,Delaware,"465,185",59.8,"17,086",3.5
2018,Dec,District of Columbia,"372,530",66.2,"23,126",5.8
2018,Dec,Florida,"9,814,959",57.2,"357,157",3.5
2018,Dec,Georgia,"4,926,826",60.5,"199,145",3.9
2018,Dec,Hawaii,"667,796",59.4,"18,903",2.8
2018,Dec,Idaho,"847,511",62.2,"26,112",3
2018,Dec,Illinois,"6,272,795",61.9,"301,163",4.6
2018,Dec,Indiana,"3,282,619",62.6,"121,323",3.6
2018,Dec,Iowa,"1,679,734",67.7,"44,747",2.6
2018,Dec,Kansas,"1,445,964",64.6,"50,802",3.4
2018,Dec,Kentucky,"1,965,310",56,"86,294",4.2
2018,Dec,Louisiana,"2,003,945",55.9,"100,253",4.8
2018,Dec,Maine,"676,634",60.6,"22,545",3.2
2018,Dec,Maryland,"3,172,633",65.6,"120,284",3.7
2018,Dec,Massachusetts,"3,712,645",65,"125,845",3.3
2018,Dec,Michigan,"4,755,801",59.1,"210,045",4.2
2018,Dec,Minnesota,"2,986,773",67.3,"100,204",3.2
2018,Dec,Mississippi,"1,201,136",52.7,"67,369",5.3
2018,Dec,Missouri,"2,955,921",61.6,"99,378",3.3
2018,Dec,Montana,"519,087",61.1,"19,621",3.6
2018,Dec,Nebraska,"1,011,504",67.9,"32,093",3.1
2018,Dec,Nevada,"1,453,593",61,"65,616",4.3
2018,Dec,New Hampshire,"754,731",67.1,"19,919",2.6
2018,Dec,New Jersey,"4,452,345",60.7,"166,843",3.6
2018,Dec,New Mexico,"901,652",55,"48,988",5.2
2018,Dec,New York,"9,447,272",58.2,"393,553",4
2018,Dec,New York city,"4,079,204",57.4,"183,596",4.3
2018,Dec,North Carolina,"4,747,457",58.8,"198,547",4
2018,Dec,North Dakota,"403,051",68.2,"9,714",2.4
2018,Dec,Ohio,"5,581,875",60.1,"261,161",4.5
2018,Dec,Oklahoma,"1,770,921",58.9,"58,982",3.2
2018,Dec,Oregon,"2,002,514",59.2,"89,188",4.3
2018,Dec,Pennsylvania,"6,266,062",60.2,"284,404",4.3
2018,Dec,Rhode Island,"550,309",61.8,"21,986",3.8
2018,Dec,South Carolina,"2,233,861",56.2,"74,515",3.2
2018,Dec,South Dakota,"448,081",67.3,"12,814",2.8
2018,Dec,Tennessee,"3,180,069",59.2,"114,571",3.5
2018,Dec,Texas,"13,262,040",61.4,"525,074",3.8
2018,Dec,Utah,"1,552,442",66.4,"45,161",2.8
2018,Dec,Vermont,"346,672",65.2,"8,296",2.3
2018,Dec,Virginia,"4,245,652",63.4,"135,001",3.1
2018,Dec,Washington,"3,694,275",61.7,"179,593",4.6
2018,Dec,West Virginia,"754,301",51.8,"40,200",5.1
2018,Dec,Wisconsin,"3,018,328",64.8,"94,077",3
2018,Dec,Wyoming,"281,141",63,"11,385",3.9
2019,Jan,Alabama,"2,180,712",55.6,"83,814",3.7
2019,Jan,Alaska,"332,127",60.9,"21,029",6
2019,Jan,Arizona,"3,218,743",58.6,"170,397",5
2019,Jan,Arkansas,"1,303,850",56,"49,673",3.7
2019,Jan,California,"18,527,572",59.7,"839,508",4.3
2019,Jan,Los Angeles County,"4,878,706",60.4,"239,018",4.7
2019,Jan,Colorado,"2,991,927",66.6,"91,873",3
2019,Jan,Connecticut,"1,862,834",64,"70,825",3.7
2019,Jan,Delaware,"466,118",59.9,"17,150",3.5
2019,Jan,District of Columbia,"373,456",66.4,"23,527",5.9
2019,Jan,Florida,"9,824,781",57.2,"355,776",3.5
2019,Jan,Georgia,"4,932,298",60.5,"197,559",3.9
2019,Jan,Hawaii,"666,823",59.3,"18,970",2.8
2019,Jan,Idaho,"849,791",62.2,"26,150",3
2019,Jan,Illinois,"6,277,328",62,"301,759",4.6
2019,Jan,Indiana,"3,285,673",62.7,"120,111",3.5
2019,Jan,Iowa,"1,683,462",67.8,"44,954",2.6
2019,Jan,Kansas,"1,447,029",64.7,"50,675",3.4
2019,Jan,Kentucky,"1,967,732",56.1,"85,976",4.2
2019,Jan,Louisiana,"2,006,814",56,"98,731",4.7
2019,Jan,Maine,"676,358",60.6,"21,770",3.1
2019,Jan,Maryland,"3,181,980",65.8,"119,334",3.6
2019,Jan,Massachusetts,"3,715,554",65,"124,627",3.2
2019,Jan,Michigan,"4,760,117",59.2,"209,935",4.2
2019,Jan,Minnesota,"2,989,126",67.4,"101,338",3.3
2019,Jan,Mississippi,"1,202,088",52.7,"68,218",5.4
2019,Jan,Missouri,"2,958,791",61.6,"100,430",3.3
2019,Jan,Montana,"519,708",61.1,"19,501",3.6
2019,Jan,Nebraska,"1,012,769",68,"32,268",3.1
2019,Jan,Nevada,"1,458,328",61.1,"65,588",4.3
2019,Jan,New Hampshire,"755,732",67.1,"19,997",2.6
2019,Jan,New Jersey,"4,462,932",60.8,"163,373",3.5
2019,Jan,New Mexico,"902,997",55,"48,943",5.1
2019,Jan,New York,"9,452,089",58.2,"391,111",4
2019,Jan,New York city,"4,083,608",57.4,"183,755",4.3
2019,Jan,North Carolina,"4,759,961",58.9,"196,883",4
2019,Jan,North Dakota,"403,945",68.3,"9,772",2.4
2019,Jan,Ohio,"5,590,529",60.2,"255,637",4.4
2019,Jan,Oklahoma,"1,773,208",59,"59,114",3.2
2019,Jan,Oregon,"2,006,597",59.3,"88,018",4.2
2019,Jan,Pennsylvania,"6,272,735",60.3,"286,726",4.4
2019,Jan,Rhode Island,"550,457",61.8,"21,497",3.8
2019,Jan,South Carolina,"2,240,068",56.3,"74,297",3.2
2019,Jan,South Dakota,"448,580",67.3,"12,956",2.8
2019,Jan,Tennessee,"3,191,290",59.4,"114,560",3.5
2019,Jan,Texas,"13,283,685",61.4,"516,751",3.7
2019,Jan,Utah,"1,556,237",66.5,"44,533",2.8
2019,Jan,Vermont,"346,789",65.3,"8,132",2.3
2019,Jan,Virginia,"4,255,805",63.5,"136,844",3.1
2019,Jan,Washington,"3,706,011",61.9,"181,746",4.7
2019,Jan,West Virginia,"754,035",51.8,"39,845",5
2019,Jan,Wisconsin,"3,018,026",64.8,"94,430",3
2019,Jan,Wyoming,"281,421",63,"10,942",3.7
2019,Feb,Alabama,"2,186,484",55.7,"81,294",3.6
2019,Feb,Alaska,"332,187",60.9,"20,657",5.9
2019,Feb,Arizona,"3,227,254",58.7,"169,073",5
2019,Feb,Arkansas,"1,305,675",56.1,"48,611",3.6
2019,Feb,California,"18,537,538",59.7,"827,951",4.3
2019,Feb,Los Angeles County,"4,880,924",60.4,"235,043",4.6
2019,Feb,Colorado,"2,998,967",66.7,"88,618",2.9
2019,Feb,Connecticut,"1,863,505",64,"69,788",3.6
2019,Feb,Delaware,"466,780",59.9,"17,131",3.5
2019,Feb,District of Columbia,"374,550",66.6,"23,571",5.9
2019,Feb,Florida,"9,838,493",57.2,"351,500",3.4
2019,Feb,Georgia,"4,938,240",60.5,"194,175",3.8
2019,Feb,Hawaii,"666,191",59.2,"18,795",2.7
2019,Feb,Idaho,"852,119",62.3,"25,882",2.9
2019,Feb,Illinois,"6,282,635",62,"296,608",4.5
2019,Feb,Indiana,"3,287,472",62.7,"117,357",3.4
2019,Feb,Iowa,"1,687,073",68,"44,881",2.6
2019,Feb,Kansas,"1,448,170",64.7,"50,121",3.3
2019,Feb,Kentucky,"1,970,391",56.1,"85,564",4.2
2019,Feb,Louisiana,"2,009,402",56.1,"96,344",4.6
2019,Feb,Maine,"676,063",60.5,"20,869",3
2019,Feb,Maryland,"3,191,085",66,"117,340",3.5
2019,Feb,Massachusetts,"3,718,510",65.1,"122,828",3.2
2019,Feb,Michigan,"4,763,577",59.2,"207,980",4.2
2019,Feb,Minnesota,"2,991,761",67.4,"101,120",3.3
2019,Feb,Mississippi,"1,203,342",52.8,"68,423",5.4
2019,Feb,Missouri,"2,961,491",61.7,"99,983",3.3
2019,Feb,Montana,"520,216",61.1,"19,273",3.6
2019,Feb,Nebraska,"1,013,929",68,"32,250",3.1
2019,Feb,Nevada,"1,463,068",61.2,"65,026",4.3
2019,Feb,New Hampshire,"756,649",67.2,"19,932",2.6
2019,Feb,New Jersey,"4,474,203",61,"158,353",3.4
2019,Feb,New Mexico,"904,293",55.1,"48,484",5.1
2019,Feb,New York,"9,456,144",58.3,"384,847",3.9
2019,Feb,New York city,"4,088,844",57.5,"180,981",4.2
2019,Feb,North Carolina,"4,771,068",59,"194,086",3.9
2019,Feb,North Dakota,"404,612",68.4,"9,702",2.3
2019,Feb,Ohio,"5,600,217",60.3,"246,925",4.2
2019,Feb,Oklahoma,"1,775,662",59,"58,438",3.2
2019,Feb,Oregon,"2,009,960",59.3,"85,578",4.1
2019,Feb,Pennsylvania,"6,277,081",60.3,"286,672",4.4
2019,Feb,Rhode Island,"550,637",61.8,"20,886",3.7
2019,Feb,South Carolina,"2,245,515",56.4,"73,919",3.2
2019,Feb,South Dakota,"448,963",67.3,"13,034",2.8
2019,Feb,Tennessee,"3,202,022",59.6,"114,110",3.4
2019,Feb,Texas,"13,307,135",61.5,"503,993",3.6
2019,Feb,Utah,"1,560,140",66.5,"43,720",2.7
2019,Feb,Vermont,"346,851",65.3,"7,832",2.2
2019,Feb,Virginia,"4,265,872",63.7,"135,582",3.1
2019,Feb,Washington,"3,717,843",62,"180,976",4.6
2019,Feb,West Virginia,"753,819",51.8,"39,143",4.9
2019,Feb,Wisconsin,"3,017,163",64.8,"94,905",3
2019,Feb,Wyoming,"281,694",63.1,"10,473",3.6
2019,Mar,Alabama,"2,191,567",55.8,"78,061",3.4
2019,Mar,Alaska,"332,455",61,"20,234",5.7
2019,Mar,Arizona,"3,235,840",58.8,"167,148",4.9
2019,Mar,Arkansas,"1,306,615",56.1,"47,386",3.5
2019,Mar,California,"18,547,526",59.8,"811,043",4.2
2019,Mar,Los Angeles County,"4,884,410",60.5,"230,293",4.5
2019,Mar,Colorado,"3,005,801",66.8,"84,974",2.7
2019,Mar,Connecticut,"1,864,142",64,"68,651",3.6
2019,Mar,Delaware,"467,213",59.9,"17,085",3.5
2019,Mar,District of Columbia,"375,702",66.8,"23,282",5.8
2019,Mar,Florida,"9,857,475",57.3,"345,785",3.4
2019,Mar,Georgia,"4,944,622",60.5,"190,100",3.7
2019,Mar,Hawaii,"665,862",59.2,"18,467",2.7
2019,Mar,Idaho,"854,491",62.3,"25,493",2.9
2019,Mar,Illinois,"6,288,440",62.1,"286,524",4.4
2019,Mar,Indiana,"3,287,507",62.6,"113,938",3.3
2019,Mar,Iowa,"1,690,540",68.1,"44,768",2.6
2019,Mar,Kansas,"1,449,383",64.8,"49,424",3.3
2019,Mar,Kentucky,"1,973,275",56.2,"85,394",4.1
2019,Mar,Louisiana,"2,010,760",56.1,"93,945",4.5
2019,Mar,Maine,"675,899",60.5,"19,967",2.9
2019,Mar,Maryland,"3,199,527",66.1,"115,028",3.5
2019,Mar,Massachusetts,"3,721,871",65.1,"120,717",3.1
2019,Mar,Michigan,"4,766,403",59.3,"205,819",4.1
2019,Mar,Minnesota,"2,994,930",67.4,"100,125",3.2
2019,Mar,Mississippi,"1,205,055",52.9,"68,431",5.4
2019,Mar,Missouri,"2,964,090",61.7,"98,198",3.2
2019,Mar,Montana,"520,757",61.1,"19,006",3.5
2019,Mar,Nebraska,"1,014,969",68.1,"32,182",3.1
2019,Mar,Nevada,"1,467,753",61.3,"64,137",4.2
2019,Mar,New Hampshire,"757,424",67.2,"19,773",2.5
2019,Mar,New Jersey,"4,486,272",61.1,"152,833",3.3
2019,Mar,New Mexico,"905,517",55.2,"47,927",5
2019,Mar,New York,"9,458,865",58.3,"377,005",3.8
2019,Mar,New York city,"4,093,336",57.6,"176,089",4.1
2019,Mar,North Carolina,"4,779,738",59,"191,389",3.9
2019,Mar,North Dakota,"404,990",68.4,"9,508",2.3
2019,Mar,Ohio,"5,610,981",60.4,"238,274",4.1
2019,Mar,Oklahoma,"1,777,965",59.1,"57,305",3.1
2019,Mar,Oregon,"2,012,440",59.3,"82,782",4
2019,Mar,Pennsylvania,"6,279,384",60.4,"284,516",4.3
2019,Mar,Rhode Island,"550,924",61.9,"20,309",3.6
2019,Mar,South Carolina,"2,250,293",56.5,"73,010",3.1
2019,Mar,South Dakota,"449,492",67.3,"13,067",2.8
2019,Mar,Tennessee,"3,211,607",59.7,"113,100",3.4
2019,Mar,Texas,"13,332,306",61.5,"490,811",3.6
2019,Mar,Utah,"1,564,065",66.6,"42,870",2.7
2019,Mar,Vermont,"346,777",65.2,"7,467",2.1
2019,Mar,Virginia,"4,275,093",63.8,"131,036",3
2019,Mar,Washington,"3,729,379",62.1,"177,921",4.6
2019,Mar,West Virginia,"753,843",51.8,"38,370",4.8
2019,Mar,Wisconsin,"3,015,971",64.7,"95,849",3.1
2019,Mar,Wyoming,"281,947",63.1,"10,124",3.5
2019,Apr,Alabama,"2,196,095",55.9,"74,592",3.3
2019,Apr,Alaska,"332,921",61.1,"19,898",5.6
2019,Apr,Arizona,"3,244,842",58.9,"165,170",4.8
2019,Apr,Arkansas,"1,306,797",56.1,"46,344",3.4
2019,Apr,California,"18,561,791",59.8,"792,788",4.1
2019,Apr,Los Angeles County,"4,890,908",60.6,"225,898",4.4
2019,Apr,Colorado,"3,012,664",66.9,"81,629",2.6
2019,Apr,Connecticut,"1,865,149",64.1,"67,719",3.5
2019,Apr,Delaware,"467,532",59.9,"17,066",3.5
2019,Apr,District of Columbia,"376,975",67,"22,756",5.7
2019,Apr,Florida,"9,882,222",57.4,"340,305",3.3
2019,Apr,Georgia,"4,952,273",60.5,"186,505",3.6
2019,Apr,Hawaii,"665,888",59.2,"18,059",2.6
2019,Apr,Idaho,"857,002",62.4,"25,161",2.9
2019,Apr,Illinois,"6,294,678",62.2,"273,698",4.2
2019,Apr,Indiana,"3,286,681",62.6,"110,815",3.3
2019,Apr,Iowa,"1,694,012",68.2,"44,804",2.6
2019,Apr,Kansas,"1,450,802",64.8,"48,801",3.3
2019,Apr,Kentucky,"1,976,639",56.3,"85,437",4.1
2019,Apr,Louisiana,"2,010,899",56.1,"92,317",4.4
2019,Apr,Maine,"676,107",60.5,"19,242",2.8
2019,Apr,Maryland,"3,207,406",66.3,"113,111",3.4
2019,Apr,Massachusetts,"3,725,635",65.2,"118,604",3.1
2019,Apr,Michigan,"4,769,277",59.3,"204,677",4.1
2019,Apr,Minnesota,"2,999,096",67.5,"98,926",3.2
2019,Apr,Mississippi,"1,206,756",52.9,"68,629",5.4
2019,Apr,Missouri,"2,967,033",61.7,"95,649",3.1
2019,Apr,Montana,"521,553",61.2,"18,776",3.5
2019,Apr,Nebraska,"1,016,041",68.1,"32,138",3.1
2019,Apr,Nevada,"1,472,519",61.4,"63,132",4.1
2019,Apr,New Hampshire,"758,193",67.2,"19,615",2.5
2019,Apr,New Jersey,"4,499,683",61.3,"148,342",3.2
2019,Apr,New Mexico,"906,764",55.2,"47,405",5
2019,Apr,New York,"9,461,587",58.3,"369,791",3.8
2019,Apr,New York city,"4,096,751",57.6,"170,161",4
2019,Apr,North Carolina,"4,786,566",59,"189,807",3.8
2019,Apr,North Dakota,"405,146",68.4,"9,229",2.2
2019,Apr,Ohio,"5,622,053",60.5,"232,659",4
2019,Apr,Oklahoma,"1,780,082",59.1,"56,168",3.1
2019,Apr,Oregon,"2,014,209",59.3,"80,415",3.8
2019,Apr,Pennsylvania,"6,281,398",60.4,"281,038",4.3
2019,Apr,Rhode Island,"551,423",61.9,"19,908",3.5
2019,Apr,South Carolina,"2,254,908",56.5,"71,023",3.1
2019,Apr,South Dakota,"450,023",67.4,"13,067",2.8
2019,Apr,Tennessee,"3,220,354",59.8,"111,350",3.3
2019,Apr,Texas,"13,360,705",61.6,"480,632",3.5
2019,Apr,Utah,"1,568,152",66.6,"42,044",2.6
2019,Apr,Vermont,"346,573",65.2,"7,127",2
2019,Apr,Virginia,"4,283,241",63.9,"124,199",2.8
2019,Apr,Washington,"3,740,812",62.2,"173,568",4.4
2019,Apr,West Virginia,"754,326",51.9,"37,778",4.8
2019,Apr,Wisconsin,"3,014,762",64.6,"97,357",3.1
2019,Apr,Wyoming,"282,214",63.2,"9,976",3.4
2019,May,Alabama,"2,200,089",56,"71,409",3.1
2019,May,Alaska,"333,431",61.2,"19,722",5.6
2019,May,Arizona,"3,253,918",58.9,"163,654",4.8
2019,May,Arkansas,"1,306,500",56.1,"45,752",3.4
2019,May,California,"18,579,975",59.9,"777,531",4
2019,May,Los Angeles County,"4,899,937",60.7,"223,084",4.4
2019,May,Colorado,"3,018,955",66.9,"79,184",2.6
2019,May,Connecticut,"1,866,634",64.1,"67,272",3.5
2019,May,Delaware,"467,721",59.9,"17,130",3.5
2019,May,District of Columbia,"378,088",67.2,"22,173",5.5
2019,May,Florida,"9,910,693",57.5,"336,373",3.3
2019,May,Georgia,"4,961,161",60.6,"184,081",3.6
2019,May,Hawaii,"666,326",59.3,"17,641",2.6
2019,May,Idaho,"859,579",62.4,"25,013",2.8
2019,May,Illinois,"6,299,386",62.2,"261,185",4
2019,May,Indiana,"3,285,752",62.5,"108,770",3.2
2019,May,Iowa,"1,697,160",68.3,"45,134",2.6
2019,May,Kansas,"1,452,366",64.9,"48,406",3.2
2019,May,Kentucky,"1,980,340",56.4,"85,398",4.1
2019,May,Louisiana,"2,009,986",56.1,"91,971",4.4
2019,May,Maine,"676,679",60.5,"18,852",2.7
2019,May,Maryland,"3,214,618",66.4,"112,062",3.4
2019,May,Massachusetts,"3,728,808",65.2,"116,788",3
2019,May,Michigan,"4,771,686",59.3,"204,592",4.1
2019,May,Minnesota,"3,004,022",67.5,"98,031",3.2
2019,May,Mississippi,"1,208,442",53,"69,272",5.4
2019,May,Missouri,"2,970,244",61.8,"93,363",3
2019,May,Montana,"522,651",61.3,"18,651",3.4
2019,May,Nebraska,"1,017,129",68.2,"32,194",3.1
2019,May,Nevada,"1,477,224",61.5,"62,314",4
2019,May,New Hampshire,"759,071",67.3,"19,571",2.5
2019,May,New Jersey,"4,513,663",61.5,"146,524",3.1
2019,May,New Mexico,"907,964",55.2,"47,029",4.9
2019,May,New York,"9,464,972",58.3,"365,605",3.7
2019,May,New York city,"4,099,198",57.6,"164,815",3.9
2019,May,North Carolina,"4,792,219",59.1,"189,960",3.8
2019,May,North Dakota,"405,104",68.4,"8,936",2.2
2019,May,Ohio,"5,631,401",60.6,"231,544",3.9
2019,May,Oklahoma,"1,781,834",59.2,"55,533",3
2019,May,Oregon,"2,015,299",59.3,"78,795",3.8
2019,May,Pennsylvania,"6,283,823",60.4,"277,728",4.2
2019,May,Rhode Island,"552,140",62,"19,753",3.5
2019,May,South Carolina,"2,259,261",56.6,"67,798",2.9
2019,May,South Dakota,"450,586",67.4,"13,040",2.8
2019,May,Tennessee,"3,227,570",59.9,"109,213",3.3
